Route_ID,Source,Destination,Distance_km,Travel_Time_h,Congestion,Risk_Score
1,Surat,Chennai,960,16.74,Medium,0.597
2,Jharkhand,Kolkata,1338,25.57,High,0.601
3,Bangalore,Kolkata,1785,34.16,Medium,0.939
4,Delhi,Jaipur,1284,20.65,Medium,0.432
5,Mumbai,Chennai,1999,28.33,Medium,0.046
6,Kolkata,Bangalore,2168,31.87,Low,0.942
7,Delhi,Jharkhand,1463,24.53,Medium,0.61
8,Bangalore,Kolkata,2353,35.85,Low,0.755
9,Jaipur,Surat,1229,16.9,Low,0.842
10,Delhi,Ahmedabad,2417,30.56,Low,0.57
11,Lucknow,Bangalore,437,6.1,Medium,0.965
12,Lucknow,Mumbai,1467,22.3,Low,0.014
13,Kolkata,Mumbai,491,6.2,Medium,0.074
14,Surat,Jharkhand,2282,27.17,Low,0.095
15,Surat,Bangalore,1851,24.15,Medium,0.275
16,Kolkata,Mumbai,1585,18.88,Medium,0.236
17,Surat,Jharkhand,306,4.56,Low,0.108
18,Surat,Mumbai,663,9.14,Medium,0.139
19,Surat,Chennai,1283,17.35,Medium,0.88
20,Jharkhand,Lucknow,895,10.9,Low,0.893
21,Jharkhand,Surat,1596,25.45,Low,0.228
22,Lucknow,Chennai,1072,12.7,Low,0.511
23,Lucknow,Ahmedabad,1357,21.37,High,0.323
24,Bangalore,Jharkhand,1236,23.5,Low,0.247
25,Surat,Delhi,1736,28.28,Low,0.61
26,Delhi,Surat,954,15.6,High,0.24
27,Delhi,Jaipur,1807,26.61,Medium,0.593
28,Surat,Lucknow,222,3.72,High,0.47
29,Delhi,Surat,2030,24.56,Medium,0.151
30,Jaipur,Kolkata,759,12.04,Low,0.711
31,Kolkata,Ahmedabad,1834,32.19,Medium,0.387
32,Delhi,Lucknow,740,9.61,Medium,0.209
33,Jharkhand,Kolkata,362,4.74,High,0.555
34,Mumbai,Kolkata,1427,16.1,Medium,0.883
35,Surat,Jharkhand,1782,22.55,High,0.887
36,Bangalore,Mumbai,727,13.62,Low,0.899
37,Chennai,Kolkata,1596,20.85,Low,0.161
38,Delhi,Kolkata,1056,17.91,Medium,0.237
39,Ahmedabad,Chennai,1627,21.41,High,0.658
40,Mumbai,Chennai,569,9.39,Low,0.973
41,Kolkata,Surat,1899,25.24,Medium,0.503
42,Mumbai,Jaipur,915,14.94,Low,0.645
43,Mumbai,Jaipur,2246,28.11,High,0.331
44,Ahmedabad,Kolkata,799,9.5,Low,0.385
45,Surat,Mumbai,227,3.5,Low,0.844
46,Kolkata,Lucknow,725,9.72,High,0.14
47,Jharkhand,Delhi,884,10.53,Low,0.709
48,Surat,Bangalore,637,7.73,High,0.913
49,Jharkhand,Surat,135,1.65,Medium,0.702
50,Kolkata,Bangalore,1266,19.47,Low,0.578
51,Jaipur,Kolkata,674,7.55,High,0.86
52,Mumbai,Ahmedabad,781,9.42,Low,0.127
53,Mumbai,Lucknow,1695,28.91,Medium,0.085
54,Chennai,Kolkata,368,4.15,Medium,0.041
55,Bangalore,Kolkata,1181,22.23,Low,0.963
56,Surat,Jharkhand,2031,30.61,Low,0.156
57,Delhi,Surat,659,11.5,High,0.638
58,Surat,Ahmedabad,2394,46.12,Medium,0.159
59,Jaipur,Jharkhand,1343,25.91,Low,0.855
60,Chennai,Jaipur,1327,26.18,Medium,0.807
61,Chennai,Mumbai,1857,24.44,Low,0.949
62,Chennai,Delhi,1731,20.54,Medium,0.163
63,Bangalore,Surat,2405,47.1,Medium,0.94
64,Bangalore,Delhi,1668,24.41,Medium,0.941
65,Kolkata,Mumbai,1540,20.25,Low,0.274
66,Delhi,Chennai,853,11.03,Low,0.319
67,Jharkhand,Delhi,214,3.49,Low,0.697
68,Bangalore,Chennai,828,10.08,Low,0.177
69,Lucknow,Bangalore,2339,32.02,Medium,0.128
70,Mumbai,Bangalore,2243,35.25,High,0.858
71,Mumbai,Bangalore,1648,20.7,Low,0.378
72,Mumbai,Ahmedabad,2003,30.54,Low,0.1
73,Chennai,Jharkhand,175,2.73,High,0.677
74,Chennai,Kolkata,1490,27.94,Low,0.602
75,Chennai,Jaipur,1267,15.53,Low,0.494
76,Surat,Ahmedabad,1338,18.63,Medium,0.969
77,Lucknow,Mumbai,1642,24.49,Low,0.397
78,Jharkhand,Delhi,1640,23.25,Low,0.581
79,Mumbai,Surat,599,10.07,High,0.592
80,Chennai,Surat,1910,23.56,Medium,0.424
81,Jharkhand,Kolkata,138,2.05,Low,0.405
82,Jharkhand,Chennai,555,10.15,Medium,0.746
83,Lucknow,Mumbai,923,12.98,Low,0.802
84,Ahmedabad,Surat,302,3.48,Low,0.695
85,Lucknow,Delhi,2194,29.18,Medium,0.455
86,Ahmedabad,Surat,570,11.0,Low,0.95
87,Bangalore,Jaipur,767,12.09,Low,0.647
88,Bangalore,Delhi,639,12.03,High,0.986
89,Jaipur,Mumbai,1324,21.22,High,0.685
90,Kolkata,Surat,1717,25.76,Medium,0.919
91,Jharkhand,Bangalore,897,10.6,Low,0.026
92,Mumbai,Surat,2293,25.62,Low,0.594
93,Lucknow,Jaipur,788,9.43,Low,0.415
94,Mumbai,Jaipur,617,7.94,Medium,0.75
95,Kolkata,Jaipur,813,9.68,Low,0.451
96,Mumbai,Chennai,784,10.56,Low,0.672
97,Delhi,Lucknow,1674,21.78,Medium,0.772
98,Delhi,Mumbai,1177,13.27,Low,0.792
99,Mumbai,Bangalore,1352,18.07,Medium,0.213
100,Jaipur,Delhi,1429,19.42,Low,0.437
101,Delhi,Ahmedabad,348,4.93,Medium,0.397
102,Surat,Kolkata,2228,25.32,Low,0.927
103,Jharkhand,Mumbai,1975,28.89,High,0.493
104,Kolkata,Jharkhand,2242,33.96,Medium,0.18
105,Chennai,Lucknow,380,4.43,Low,0.668
106,Delhi,Chennai,1128,17.68,Low,0.032
107,Jaipur,Mumbai,2380,37.05,High,0.129
108,Jharkhand,Lucknow,2396,34.6,Medium,0.512
109,Mumbai,Ahmedabad,1380,25.85,Medium,0.986
110,Bangalore,Jaipur,625,8.36,Low,0.463
111,Jharkhand,Bangalore,982,12.5,High,0.512
112,Delhi,Surat,2006,33.6,Low,0.377
113,Jharkhand,Surat,2076,24.82,Low,0.535
114,Lucknow,Mumbai,2172,28.15,Medium,0.498
115,Chennai,Surat,2181,30.16,Medium,0.564
116,Jharkhand,Lucknow,1641,19.08,Medium,0.244
117,Jaipur,Ahmedabad,1412,28.07,Low,0.365
118,Chennai,Lucknow,1260,23.68,Medium,0.41
119,Chennai,Lucknow,1346,15.68,Medium,0.917
120,Jaipur,Surat,1729,30.42,Medium,0.929
121,Bangalore,Kolkata,2320,28.72,Low,0.324
122,Kolkata,Ahmedabad,324,4.08,Medium,0.707
123,Jaipur,Ahmedabad,2017,35.91,Low,0.533
124,Mumbai,Surat,789,11.57,Medium,0.549
125,Delhi,Lucknow,1719,28.56,Medium,0.76
126,Bangalore,Jaipur,2138,26.15,Low,0.851
127,Delhi,Jaipur,475,5.3,Low,0.379
128,Mumbai,Lucknow,1955,24.06,High,0.751
129,Kolkata,Jaipur,2152,36.21,Medium,0.908
130,Lucknow,Jharkhand,2443,35.89,Medium,0.9
131,Jaipur,Mumbai,1146,16.97,Medium,0.355
132,Surat,Delhi,2097,39.82,Low,0.543
133,Jaipur,Surat,1302,20.54,Low,0.794
134,Mumbai,Ahmedabad,577,6.73,Medium,0.152
135,Mumbai,Jaipur,1050,18.84,Low,0.714
136,Ahmedabad,Mumbai,1241,14.98,Low,0.846
137,Bangalore,Chennai,2162,26.4,Low,0.229
138,Delhi,Chennai,2055,28.66,Low,0.346
139,Jharkhand,Bangalore,811,12.11,Low,0.615
140,Jharkhand,Bangalore,1084,17.99,Medium,0.593
141,Chennai,Ahmedabad,1963,25.81,Medium,0.374
142,Lucknow,Jaipur,150,1.89,High,0.926
143,Surat,Mumbai,1736,19.42,High,0.125
144,Lucknow,Mumbai,1954,31.29,Low,0.608
145,Lucknow,Ahmedabad,301,3.67,Low,0.333
146,Chennai,Jharkhand,1725,19.87,Low,0.347
147,Delhi,Mumbai,1038,20.23,High,0.248
148,Lucknow,Surat,1303,19.52,High,0.362
149,Jaipur,Delhi,1592,22.55,High,0.459
150,Chennai,Surat,441,8.26,High,0.502
151,Mumbai,Bangalore,1051,12.23,Low,0.191
